epochs,g_loss,d_loss
0,0.9347,0.9865
100,0.5078,1.9162
200,0.4644,1.6602
300,0.7673,1.5297
400,0.6305,1.4793
500,0.7006,1.4612
600,0.6268,1.4204
700,0.6795,1.4960
800,0.6842,1.4377
900,0.6043,1.4413
