epochs,g_loss,d_loss
0,0.9339,1.0091
100,3.6800,1.0083
200,0.4886,1.3335
300,0.6267,0.9875
400,0.5541,1.3935
500,1.7961,1.0337
600,1.3070,1.2323
700,0.4546,1.3962
800,0.9189,1.0837
900,0.6191,1.2454
