epochs,g_loss,d_loss
0,1.0966,0.8435
100,5.1387,0.0131
200,2.6449,0.1036
300,4.3945,0.0314
400,1.4791,0.4692
500,4.0249,0.0324
600,1.2611,0.5906
700,2.3197,0.2265
800,2.7785,0.1261
900,3.2317,0.0903
