epochs,g_loss,d_loss
0,0.9419,1.0262
1000,0.7083,1.3891
100,1.8105,0.9631
200,0.9724,1.3181
300,0.7937,1.3108
400,0.9074,1.3262
500,0.8575,1.3156
600,0.7225,1.3965
700,0.9775,1.2755
800,1.0708,1.1442
900,0.7908,1.2677
