epochs,g_loss,d_loss
0,1.0256,1.0302
1000,1.8971,1.0687
100,6.0592,0.9589
1100,0.8230,0.9144
1200,2.1482,0.8133
1300,1.2600,0.7265
1400,2.4047,0.9157
1500,1.2008,0.6963
1600,2.1326,0.6153
1700,0.5816,1.0861
1800,2.2320,0.6439
1900,3.0466,0.7269
2000,3.3500,1.0367
200,2.3099,1.4303
300,1.7083,0.4614
400,1.1244,1.0099
500,2.2125,1.1720
600,1.8517,1.0792
700,0.7236,0.9830
800,2.2235,1.0427
900,1.9729,1.1757
