epochs,g_loss,d_loss
0,1.5239,0.5598
100,9.1604,0.0002
200,5.7652,0.0127
300,7.3297,0.0247
400,4.6356,0.0450
500,7.0856,0.0201
600,9.1193,0.0047
700,5.4982,0.0223
800,1.7281,0.6818
900,3.4697,0.1087
