epochs,g_loss,d_loss
0,0.1807,8.3347
100,1.9165,0.2311
200,3.5171,0.1087
300,2.3523,0.2226
400,2.9504,0.1406
500,2.5376,0.2006
600,2.2158,0.2568
700,1.9628,0.2906
800,2.0476,0.2819
900,1.3955,0.5753
